datetime,ticker,open,high,low,close,volume
2015-12-07 15:10:00,AFLT,57.76,57.76,57.76,57.76,0
2015-12-07 15:11:00,AFLT,57.82,57.82,57.77,57.77,5600
2015-12-07 15:12:00,AFLT,57.83,57.94,57.82,57.84,23000
2015-12-07 15:13:00,AFLT,57.79,57.79,57.53,57.79,8200
2015-12-07 15:14:00,AFLT,57.77,57.77,57.76,57.76,4200
2015-12-07 15:15:00,AFLT,57.71,57.79,57.49,57.67,38800
2015-12-07 15:16:00,AFLT,57.67,57.78,57.67,57.78,15800
2015-12-07 15:17:00,AFLT,57.8,57.8,57.74,57.74,13300
2015-12-07 15:18:00,AFLT,57.76,57.76,57.73,57.74,3400
2015-12-07 15:19:00,AFLT,57.78,57.78,57.74,57.74,5200
2015-12-07 15:20:00,AFLT,57.74,57.74,57.74,57.74,0
2015-12-07 15:21:00,AFLT,57.74,57.75,57.74,57.74,4200
2015-12-07 15:22:00,AFLT,57.74,57.75,57.74,57.75,600
2015-12-07 15:23:00,AFLT,57.75,57.75,57.75,57.75,0
2015-12-07 15:24:00,AFLT,57.74,57.74,57.74,57.74,200
2015-12-07 15:25:00,AFLT,57.74,57.74,57.73,57.73,1000
2015-12-07 15:26:00,AFLT,57.75,57.75,57.75,57.75,3400
2015-12-07 15:27:00,AFLT,57.74,57.74,57.69,57.74,2400
2015-12-07 15:28:00,AFLT,57.74,57.74,57.74,57.74,0
2015-12-07 15:29:00,AFLT,57.74,57.74,57.74,57.74,0
2015-12-07 15:30:00,AFLT,57.74,57.78,57.74,57.77,11400
2015-12-07 15:31:00,AFLT,57.77,57.77,57.74,57.74,7600
2015-12-07 15:32:00,AFLT,57.76,57.76,57.76,57.76,200
2015-12-07 15:33:00,AFLT,57.76,57.76,57.76,57.76,0
2015-12-07 15:34:00,AFLT,57.76,57.76,57.75,57.75,5400
2015-12-07 15:35:00,AFLT,57.75,57.75,57.74,57.74,2200
2015-12-07 15:36:00,AFLT,57.74,57.74,57.74,57.74,0
2015-12-07 15:37:00,AFLT,57.75,57.75,57.75,57.75,3600
2015-12-07 15:38:00,AFLT,57.75,57.75,57.75,57.75,0
2015-12-07 15:39:00,AFLT,57.75,57.83,57.71,57.77,16900
2015-12-07 15:40:00,AFLT,57.78,57.78,57.75,57.75,8600
2015-12-07 15:41:00,AFLT,57.75,57.78,57.75,57.78,1500
2015-12-07 15:42:00,AFLT,57.78,57.78,57.74,57.74,5700
2015-12-07 15:43:00,AFLT,57.78,57.99,57.74,57.78,43800
2015-12-07 15:44:00,AFLT,57.8,58.42,57.78,57.98,274800
2015-12-07 15:45:00,AFLT,57.98,58.0,57.64,57.85,103400
2015-12-07 15:46:00,AFLT,57.85,57.91,57.76,57.8,12400
2015-12-07 15:47:00,AFLT,57.86,57.92,57.79,57.9,22200
2015-12-07 15:48:00,AFLT,57.9,57.92,57.89,57.89,2000
2015-12-07 15:49:00,AFLT,57.9,57.9,57.86,57.88,2400
2015-12-07 15:50:00,AFLT,57.88,57.88,57.59,57.59,8400
2015-12-07 15:51:00,AFLT,57.82,57.89,57.78,57.89,10700
2015-12-07 15:52:00,AFLT,57.89,57.89,57.78,57.85,12400
2015-12-07 15:53:00,AFLT,57.82,57.82,57.73,57.73,3200
2015-12-07 15:54:00,AFLT,57.75,57.91,57.75,57.89,6100
2015-12-07 15:55:00,AFLT,57.89,57.91,57.89,57.91,10200
2015-12-07 15:56:00,AFLT,57.9,59.0,57.66,57.98,199200
2015-12-07 15:57:00,AFLT,58.0,58.13,57.95,58.1,57300
2015-12-07 15:58:00,AFLT,58.11,59.0,58.03,58.03,100600
2015-12-07 15:59:00,AFLT,58.16,58.18,58.12,58.12,10600
2015-12-07 16:00:00,AFLT,58.18,58.6,58.16,58.27,71400
2015-12-07 16:01:00,AFLT,58.27,58.55,57.94,58.35,51300
2015-12-07 16:02:00,AFLT,58.37,58.9,58.23,58.44,195800
2015-12-07 16:03:00,AFLT,58.5,58.8,58.05,58.64,77700
2015-12-07 16:04:00,AFLT,58.56,58.63,58.08,58.5,72400
2015-12-07 16:05:00,AFLT,58.46,58.65,58.39,58.4,22200
2015-12-07 16:06:00,AFLT,58.4,58.65,58.16,58.53,166700
2015-12-07 16:07:00,AFLT,58.47,58.5,58.45,58.5,24000
2015-12-07 16:08:00,AFLT,58.48,58.49,58.48,58.49,1200
2015-12-07 16:09:00,AFLT,58.45,58.45,58.45,58.45,400
2015-12-07 16:10:00,AFLT,58.5,58.5,58.4,58.42,42100
2015-12-07 16:11:00,AFLT,58.4,59.0,57.72,58.21,78200
2015-12-07 16:12:00,AFLT,58.21,58.35,58.21,58.35,14600
2015-12-07 16:13:00,AFLT,58.31,58.31,58.28,58.28,9400
2015-12-07 16:14:00,AFLT,58.28,58.28,58.28,58.28,0
2015-12-07 16:15:00,AFLT,58.27,58.27,58.26,58.26,6400
2015-12-07 16:16:00,AFLT,58.31,58.97,58.31,58.48,101600
